date,open,high,low,close,volume
2025-01-02,496.51,501.81,481.41,488.56,38476
2025-01-03,490.51,496.36,477.14,482.14,26796
2025-01-06,485.56,498.6,483.15,495.82,13318
2025-01-07,494.02,494.72,487.53,487.61,20204
2025-01-08,488.73,497.95,482.15,490.8,20393
2025-01-09,491.56,494.16,482.4,486.85,33276
2025-01-10,489.17,504.5,488.37,498.97,17551
2025-01-13,499.75,506.22,497.71,498.91,47189
2025-01-14,495.4,496.42,482.09,489.24,46320
2025-01-15,493.49,499.77,486.74,493.34,49470
2025-01-16,494.58,498.44,488.72,492.29,47098
2025-01-17,488.42,501.68,488.3,496.26,39782
2025-01-20,498.34,505.34,492.34,502.73,8754
2025-01-21,499.93,509.79,499.6,503.2,28305
2025-01-22,506.87,515.12,501.42,513.59,9899
2025-01-23,513.29,525.05,511.92,517.75,24238
2025-01-24,521.43,530.58,515.04,527.23,40497
2025-01-27,526.24,532.71,518.48,529.82,27524
2025-01-28,524.71,532.81,523.36,525.74,44345
2025-01-29,525.24,525.48,520.79,522.58,20032
2025-01-30,517.9,525.57,510.61,525.2,8831
2025-01-31,524.98,538.75,521.09,534.69,8908
2025-02-03,530.2,536.8,521.11,527.3,35629
2025-02-04,523.4,535.44,520.59,528.08,3241
2025-02-05,526.07,536.73,519.67,535.29,9157
2025-02-06,538.79,542.83,535.46,536.11,8820
2025-02-07,531.74,539.0,528.33,538.62,8172
2025-02-10,539.35,545.57,535.41,541.93,46385
2025-02-11,546.99,554.66,537.17,537.57,41602
2025-02-12,540.79,543.95,528.72,531.94,14150
2025-02-13,529.6,542.54,523.16,536.68,13442
2025-02-14,541.64,558.51,537.39,550.51,32410
2025-02-17,548.55,555.7,535.51,540.17,37280
2025-02-18,545.15,549.16,542.43,546.12,41928
2025-02-19,546.08,546.26,537.27,541.99,31715
2025-02-20,539.5,546.3,532.06,543.48,49991
2025-02-21,547.06,554.85,542.63,549.12,22950
2025-02-24,552.93,560.67,548.23,554.79,45134
2025-02-25,554.48,556.37,540.45,545.63,33106
2025-02-26,545.09,550.14,533.32,536.24,47121
2025-02-27,538.57,555.03,531.77,547.73,44387
2025-02-28,542.5,549.87,533.56,538.16,8135
2025-03-03,542.96,549.94,528.84,535.98,11556
2025-03-04,541.29,556.51,534.34,550.22,30359
2025-03-05,551.97,560.96,550.39,555.61,26106
2025-03-06,553.06,570.05,550.44,563.38,32898
2025-03-07,558.44,561.24,555.36,557.99,8007
2025-03-10,554.05,559.81,548.15,553.5,24572
2025-03-11,551.6,562.86,547.71,558.86,43168
2025-03-12,554.17,561.54,542.69,549.26,40069
2025-03-13,550.76,553.29,538.23,544.11,48347
2025-03-14,543.06,544.81,536.33,543.15,3422
2025-03-17,543.62,549.83,531.06,535.71,13812
2025-03-18,534.82,545.98,532.97,537.97,31209
2025-03-19,533.57,542.28,527.75,540.63,16763
2025-03-20,545.87,552.08,532.38,537.93,32386
2025-03-21,537.08,538.43,525.68,529.1,29495
2025-03-24,533.76,534.67,525.06,528.66,46804
2025-03-25,530.12,536.17,526.72,528.31,49240
2025-03-26,527.88,544.33,520.86,536.97,8210
2025-03-27,534.04,544.39,529.87,543.09,6045
2025-03-28,537.68,537.92,535.53,535.66,44826
2025-03-31,535.21,543.0,527.64,542.4,21624
2025-04-01,539.05,544.69,524.14,530.49,9374
2025-04-02,533.66,535.03,530.95,534.09,41683
2025-04-03,538.91,548.33,535.02,547.31,49456
2025-04-04,542.03,543.78,532.95,535.46,40075
2025-04-07,536.48,550.16,532.01,547.08,39143
2025-04-08,547.43,555.24,543.34,544.46,48616
2025-04-09,543.94,547.31,535.9,536.44,43405
